talkid,speaker,title,GENDER (M/F/X)
7JINsdEk3Zw,Sakina M'Sa,Et si nos désirs nous menaient droit à l'illumination ? Écoutons-les ! | Sakina M'Sa | TEDxCannes,F
7Jt6KRJFaEE,Maude Bonenfant,"Le jeu, un monde bien réel ! | Maude Bonenfant | TEDxCannes",F
7KMrNAmOKx0,Nabla Leviste,Créativité immédiate : l’importance de se dé-tendre | Nabla Leviste | TEDxMontrouge,F
7L9heVfFOXs,Corine Rondel,Nous pouvons tous agir contre le suicide | Corine Rondel | TEDxLaRochelle,F
7lvDrCjNPPk,#MaVoix,Unissons nos voix | #MaVoix | TEDxIESEGLille,F
7ME8XAXbSwk,Daniella JACQUES,Les assassins de demain | Daniella JACQUES | TEDxPointeaPitre,F
7pZzEryUIHk,Delphine Remy-Boutang,Finir un rêve inachevé | Delphine Remy-Boutang | TEDxVaugirardRoad,F
7WaitaYr-BQ,Jennifer Leblond,POC21 : On a testé la société post carbone | Jennifer Leblond | TEDxParisSalon,F
8_7BluVhWuY,Daphné Niwaju,"Plus de Femmes dans le Numérique, c'est possible ! | Daphné Niwaju | TEDxGanhito",F
80b6EVkEU84,Cécilia Pellet-Many,Vos oreilles sont racistes | Cécilia Pellet-Many | TEDxUSMBAnnecy,F
80HsFedGgFU,Gala Vilarrasa,Il n'y a pas d'âge pour être généreux | Gala Vilarrasa | TEDxChampsElyseesWomen,F
89R0n5oDtOs,Clémentine Prévot,Comment ne pas devenir un ingénieur raté ? | Clémentine Prévot | TEDxNouméa,F
8Ft_-xWmK9w,Natacha Butzbach,L’humain comme espèce portée | Natacha Butzbach | TEDxLaBaule,F
8l48A4TRxkg,Joëlle Huaux,Pourquoi l'empathie est garante de l’éthique | Joëlle Huaux | TEDxUCLouvain,F
8ohwzreuH4M,Fabienne GOUX-BAUDIMENT,Les enfants de Darwin | Fabienne GOUX-BAUDIMENT | TEDxPointeaPitre,F
8qgdP5qmcZY,Emilie Gaillard,Pour un droit des générations futures ! | Emilie Gaillard | TEDxRennes,F
8S8mie3bwtw,Nadalette La Fonta Six,Rien ne nous arrive par hasard  | Nadalette La Fonta Six | TEDxChampsElyseesWomen,F
8TIj5zJKS3k,Manel Dardouri,Le pouvoir émergent du mentorat | Manel Dardouri | TEDxUSMBAnnecy,F
8UQtKcAlFIo,Candice CELLIER,Réécrire la chair et l'identité | Candice CELLIER | TEDxLimoges,F
8XEFSKnnrxI,La Carologie,Les 5 blessures de l'enfance | La Carologie | TEDxIMTLilleDouai,F
8xEy5yVT2yA,Camille MARTINEZ,"L’intégration du genre dans l’aménagement, une révolution ?  | Camille MARTINEZ | TEDxENTPE",F
8xF8JjHDQfA,Karine Massonnie,S’inspirer des peuples premiers pour une humanité durable | Karine Massonnie | TEDxLaBaule,F
9-PLvBBDVU8,Emily Loizeau,Sombres printemps | Emily Loizeau | TEDxRennes,F
9asuUem0rGs,Marie Rose Moro,De l'importance des langues maternelles pour la cohésion | Marie Rose Moro | TEDxChampsElyseesWomen,F
9fxo9YJhnG8,Marine DUVOULDY,L'amour dure 90 secondes | Marine DUVOULDY | TEDxAnnecy,F
9Nq5xyLYs7U,Muriel Horrein,Comment être au clair avec ses intentions grâce au cheval | Muriel Horrein | TEDxVaugirardRoad,F
9OlUcM6c148,Laurene Castor,Etudier autrement | Laurene Castor | TEDxGrenoble,F
A_UCy5r3sy4,Céline Santini,De lignes de faille en lignes de force | Céline Santini | TEDxUniversitedeTours,F
a73js0xfCXo,Claudie Haigneré,Moon Village | Claudie Haigneré | TEDxPanthéonSorbonne,F
aChniTz-lOg,Véronique de Viguerie,Photographier la complexité du monde | Véronique de Viguerie | TEDxParis,F
AfGPBk4nYpU,Nathalie Schots,Investir dans le capital humain de l'Afrique | Nathalie Schots | TEDxLaRochelle,F
aJFVG0h370Q,Précieuse Nadie Semanou,L'Afrique comme une marque | Précieuse Nadie Semanou | TEDxAkpakpa,F
ANh47JK1sjE,Elly Oldman,Mon dessin est une poubelle sans fin | Elly Oldman | TEDxRennes,F
aOY3Z81LeVk,Cindy PIDANCET,La confiance | Cindy PIDANCET | TEDxUSMBAnnecy,F
aqC18fMWwhk,Stephanie Harvey,Why you should care about your kids' gaming life | Stephanie Harvey | TEDxUmontreal,F
AQKparroPCE,Iris Brey,Comment Game of Thrones m'a ouvert les yeux ? | Iris Brey | TEDxChampsElyseesWomen,F
AUsGd1VDOKs,Amina Touidjine,Devenir Réfugiée | Amina Touidjine | TEDxChampsElyseesSalon,F
AvBJsjP8hVg,Catherine De Wolf,Les nouveaux matériaux | Catherine De Wolf | TEDxPanthéonSorbonne,F
AVLhvZk81l0,Bergers Urbains,Cultiver le terroir de la ville | Bergers Urbains | TEDxParis,F
b0hsYogEiUc,Létitia FRAYSSE,Le bonheur au travail : une révolution | Létitia FRAYSSE | TEDxRéunion,F
b1q7R63LXH0,Florence Rodhain,Des pollutions numériques à l’écologie intérieure | Florence Rodhain | TEDxNarbonne,F
B7n3xIPxy40,Christine Dumont-Léger,À la rencontre des femmes de l’Atlas | Christine Dumont-Léger | TEDxLaRochelle,F
BaQhse6Ag4g,Julie de Pimodan,Fluicity | Julie de Pimodan | TEDxParis,F
BaV57KhjElw,Anne ASENSIO,Réapprendre à dessiner le monde et démo de 3D Light Painting | Anne ASENSIO | TEDxClermont,F
BcwSqZbNvRY,Lucie POULET,La recherche spatiale pour vivre durablement sur terre | Lucie POULET | TEDxClermont,F
Bex1ylrNQXQ,Evelyne Lopez,J'ai du bol ! | Evelyne Lopez | TEDxUSMBAnnecy,F
BEXJ4nmtZ6k,Mathilde Ramadier,"Mieux qu’un bonheur imbécile, une colère utile | Mathilde Ramadier | TEDxToulouse",F
bfPBmowRRN4,Joëlle SAM-CAW-FREVE,De la Colère à la Bienveillance | Joëlle SAM-CAW-FREVE | TEDxSaintDenisWomen,F
BjH1cYAr9Mc,Aurore Hannequin,Permaculture : une Façon de Vivre le Changement | Aurore Hannequin | TEDxGrasse,F
bKcFIFOyKE4,Violette Kerleaux,Abandonnons le culte de la puissance masculine | Violette Kerleaux | TEDxUniversitedeTours,F
bLApSrtxFmI,Rozenn Colleter,Nous sommes l’Histoire ! | Rozenn Colleter | TEDxRennes,F
BXmBkHLJ4XI,Jennifer Vignaud,"Osez être unique, soyez vous-même ! | Jennifer Vignaud | TEDxRéunion",F
bZ2u8x43rHA,Hely Ventura,Une conférence d'un autre genre | Hely Ventura | TEDxNouméa,F
C46xWcapnqk,Virginie Raisson-Victor,Passer du déni au déclic | Virginie Raisson-Victor | TEDxLaRochelle,F
caJVHMofDk8,Maïthé QUINTANA,L'autre façon d'apprendre | Maïthé QUINTANA | TEDxPointeaPitre,F
CdVO91A0aWE,Sophie Techer,"Chercheuse a La Reunion, ou comment y trouver sa voie | Sophie Techer | TEDxRéunion",F
cedCD-7Q3Ao,Stéphanie Alyson Gravel,Être transgenre: Au-delà de ce que nous savons | Stéphanie Alyson Gravel | TEDxMontreal,F
Cfggeai3JPg,Sandrine Codis,Expansion de l'univers : et si Einstein s'était trompé ? | Sandrine Codis | TEDxParis,F
ChzRPC5jsc0,Aline Tacite,La révolution de soi commence à la racine des cheveux | Aline Tacite | TEDxUniversitéParisDauphine,F
CjZqqjhXBXQ,Sophie Deram,Le poids des régimes  | Sophie Deram | TEDxLaBaule,F
CkJortokkRU,Fatou Sy,Transgresser les normes par le Drame | Fatou Sy | TEDxAbidjan,F
CnEf8wINnfs,Caroline Valent,Comment j'ai sauvé ma vie grâce à mon assiette | Caroline Valent | TEDxVaugirardRoad,F
CNSylSf02WU,Isabelle Filliozat,Comment rebrancher son cerveau ? | Isabelle Filliozat | TEDxVaugirardRoad,F
cT2edH85nIM,Nadège Compper,Ma Voix Me parle ! | Nadège Compper | TEDxColomiers,F
D0ygP02moxc,Thérèse Hargot,Pourquoi l'infidélité ? | Thérèse Hargot | TEDxChampsElyseesWomen,F
d9OF9sYsZBg,Margaux BAÏS,Faire de son travail un jeu | Margaux BAÏS | TEDxAnnecy,F
dG-qxBP15-w,Maryse COPPET,Nous n'avons pas le luxe du temps | Maryse COPPET | TEDxPointeaPitre,F
DG6plRkxX28,Coline Houssais,This is not a veil | Coline Houssais | TEDxSciencesPoCampusMenton,F
DMJ2fePECNA,Caroline GLOTON JAMMET,L’espoir est dans le placard | Caroline GLOTON JAMMET | TEDxCanebière,F
dPL1C9gFjks,Julie GREZES,Comment nos émotions influencent nos décisions | Julie GREZES | TEDxParisSalon,F
DQdNG0NeCYE,Linda Bedouet,"De la ville aux champs, et si vous répondiez à l'appel de mère nature ? | Linda Bedouet | TEDxCannes",F
duhfptxbhw4,Pascale Auger,"L'incertitude, un trésor à découvrir ? | Pascale Auger | TEDxVaugirardRoad",F
DV4jjJdyXDE,Marine Quenin,"La laïcité, ça s’apprend | Marine Quenin | TEDxParis",F
ec1xEJvqk84,Nathalie Heraud,Journalisme et pression quotidienne | Nathalie Heraud | TEDxCentraleLille,F
EcamAXsvjQg,Sylvie Sarolea,Migrations : oser la circulation | Sylvie Sarolea | TEDxUCLouvain,F
eCe2u5YPKlM,Andrea Ursina Zimmermann,Everest et séismes au Népal: les détours d'un rêve | Andrea Ursina Zimmermann | TEDxMartigny,F
ECgRL2lVJ9I,Marie Pons,Découvrez le super pouvoir de votre épargne ! | Marie Pons | TEDxLaRochelle,F
Ed_fp9MqNDQ,Leïla DRISSI KAÏTOUNI,S’inspirer de la nature pour dépolluer | Leïla DRISSI KAÏTOUNI | TEDxClermont,F
ef8yXLUaBbk,Ingrid DONNAT,Et si on prenait exemple sur les générations futures ? | Ingrid DONNAT | TEDxAnnecy,F
Eg0axOgIOBo,Virginie Montjean,Les meilleures choses ont une fin | Virginie Montjean | TEDxRennes,F
eg6KDkjdm_s,Coralie Buxant,Oser le logement pour une sortie rapide et durable du sans-abrisme | Coralie Buxant | TEDxUCLouvain,F
ei2X-w-E7l4,Marjolaine Grondin,"L’intelligence artificielle, une responsabilité collective | Marjolaine Grondin | TEDxParis",F
EKSxVSLPNEI,Karelle FERNETTE,Et si bien manger devenait amusant ? | Karelle FERNETTE | TEDxPointeaPitre,F
eKtuM9koC0Q,Marion Lorblanchet,Le je(u) de la performance  | Marion Lorblanchet | TEDxESCClermont,F
eN_k1IW09CM,Elisabeth de la Tour,Devenez l'artiste de votre vie | Elisabeth de la Tour | TEDxSciencesPo,F
ERlqGlwXHGU,Laurence Malençon,Le monde n’est pas si désordonné | Laurence Malençon | TEDxIssylesMoulineaux,F
ERyu1Y5gpvs,Marine De Nicola,C'est lorsque l'on se perd que le voyage commence vraiment... | Marine De Nicola | TEDxToulouse,F
ES0qIGoXtCA,Florence Servan-Schreiber,L'hyper pouvoir de l'amour | Florence Servan-Schreiber | TEDxLille,F
eWdw2mv144U,Cyrille AIMEE & Michael VALEANU,Osez l'improvisation | Cyrille AIMEE & Michael VALEANU | TEDxClermont,F
Ez6xYUMXg-c,Cindy BARATE,De l'inclusion des personnes sourdes dans l'enseignement classique! | Cindy BARATE | TEDxUNamur,F
f_cwj4Otx54,Elaine Benoit,Libérer la créativité individuelle et collective | Elaine Benoit | TEDxDunkerque,F
f-nsXRqJeHw,Léa Frédeval,"25 ans en 2016, quelle place pour la jeunesse ? | Léa Frédeval | TEDxParis",F
f2TCJ9XBtvM,Marie-Bernard Guillaume,De chasseuse de têtes à chasseuse de cœurs? | Marie-Bernard Guillaume | TEDxUCLouvain,F
F3h0X-ERQXY,Sandrine Bridoux,Il est temps de prendre le temps | Sandrine Bridoux | TEDxUniversitéParisDauphine,F
f8UToM7OW-g,Maeva BIGOURIE,Mise au secret | Maeva BIGOURIE | TEDxLimoges,F
F9qgVb0kXbM,Anaïs Baud,Carrière et résilience à travers le schéma de soi | Anaïs Baud | TEDxUSMBAnnecy,F
fJM7GNB59AU,Sandrine Donzel,Et si moins de volonté permettait de mieux réussir ? | Sandrine Donzel | TEDxINSA,F
fl-EEGG_o00,Lina Hamed,Apprendre à Apprendre à transformer son monde | Lina Hamed | TEDxArtsetMétiersBordeaux,F
FLTGL_tbHWg,Betty et Germaine,Des mots et des signes pour parler avec les enfants | Betty et Germaine | TEDxRennes,F
FmjQbi9I8E8,Anabelle,"Let’s live our lives to the fullest, all the time! | Anabelle | TEDxCannes",F
fPv4pW_fO-k,Aurélia CHEVREUL-GAUD,La nature au secours de l'humanité - Will nature save our kids? | Aurélia CHEVREUL-GAUD | TEDxAnnecy,F
FpVIthg2z1U,Charlotte de Vilmorin,Transformer les obstacles en opportunités | Charlotte de Vilmorin | TEDxIESEGParis,F
FsWMCFsAJrY,Krystèle Appourchaux,Libre arbitre et neurosciences | Krystèle Appourchaux | TEDxMaussanelesAlpilles,F
fuQbL91dK-o,Sawsan Bellaj,How to decide on a career change  | Sawsan Bellaj | TEDxSfax,F
fYfN_JCnbDo,Stéphanie Gibaud,Lancer l'alerte pour le bien commun | Stéphanie Gibaud | TEDxClermont,F
G4imY5m6LlE,Alice Stadler,L'architecture au service de l'environnement | Alice Stadler | TEDxUniversitedeTours,F
g6MtMZBAs_0,Marine Plossu,L’école 3.0 -- apprendre en relevant des défis sociétaux | Marine Plossu | TEDxReims,F
gBw52hyCdYU,Stéphanie Toussaint,Le Burn-Out m'a sauvée | Stéphanie Toussaint | TEDxGEM,F
gGhlp0ZQI_k,Elsa Wolinski,"« On peut tuer des hommes, mais on ne peut pas tuer des idées » | Elsa Wolinski | TEDxParis",F
Gh7QgNQ3wr4,Catherine Belzung,"10 000 dépressions, 10 000 traitements  | Catherine Belzung | TEDxUniversitedeTours",F
ghU53aujXoo,Nolwenn Febvre,Agir différemment | Nolwenn Febvre | TEDxRennes,F
GoqxIIdJsuQ,Rachel Mwanza,Des rues de Kinshasa aux tapis rouges des Oscars | Rachel Mwanza | TEDxParis,F
gQbvTy97Pyg,Yasmine Berraoui,Parents d'enfants trisomiques : Battez-vous pour eux ! | Yasmine Berraoui | TEDxCasablanca,F
grKOQJfLpF0,Solenn THOMAS,Humanité au travail et biodiversité des talents | Solenn THOMAS | TEDxClermont,F
GYbSX7ElUQI,Barbara Goncalves,« Repenser la peine de prison » | Barbara Goncalves | TEDxESCClermont,F
h_gZpNHnEfY,Marie Prevost,Comment booster ses performances cognitives | Marie Prevost | TEDxGEM | Marie Prevost | TEDxGEM,F
h0eq0u57FNM,Kankyo Tannier,Les yeux grands ouverts sur le moment présent - Est-ce la limite? | Kankyo Tannier | TEDxAlsace,F
H41DtHNZCr8,Claire Cambier,Comment la technologie m'a permis de renforcer ma différence | Claire Cambier | TEDxPanthéonSorbonne,F
H5axWMXWq1Y,Maria-Laetitia MATTERN,Une carrière musicale? Quand la passion prime sur le résultat  | Maria-Laetitia MATTERN | TEDxUNamur,F
HaaKnRBQOuw,Véronique Dehant,Les planètes et lunes du système solaire sont-elles habitables? | Véronique Dehant | TEDxUNamur,F
HaiRP1xFycQ,Chloé Rivault,Je suis plus que mon diplôme | Chloé Rivault | TEDxESSCA,F
HcaGjks3JT0,Géraldine Mathieu,Bébé 2.0 ou la (r)évolution génétique? | Géraldine Mathieu | TEDxUNamur,F
hJkhO4ZpIV0,Cathy Laborde-Brocard,Ma vie sur 3 continents : apprentissages sur la communication | Cathy Laborde-Brocard | TEDxQuébec,F
hKM4quSH7Ms,Helen Lee Bouygues,Comment développer la pensée critique de nos enfants ? | Helen Lee Bouygues | TEDxRennesSalon,F
HlkKYFLY-J8,Adèle Galey,Stop au gâchis de talents | Adèle Galey | TEDxESSECBusinessSchool,F
hmOwl5Vqo9A,Khojesta Ebrahimi,Et vous - quel est le sens de votre voyage ? | Khojesta Ebrahimi | TEDxCannes,F
hNERzZDZT68,Caroline Huron,Le cerveau peut-il faire deux choses à la fois ? | Caroline Huron | TEDxChampsElyseesED,F
hyrN18yAu_k,Riwan REJON,Repenser l'imaginaire antillais | Riwan REJON | TEDxFortdeFrance,F
I064s961IQw,Magalie PIGEON,Comment des millions de Caribéens vont transformer le monde | Magalie PIGEON | TEDxPointeaPitre,F
i1FjJmxa4Ic,Sophie Fontanel,Tout le monde peut être élégant | Sophie Fontanel | TEDxRennes,F
i4kgUc1WY4w,Anne-Béatrice Duparc,Le revenu de base pour refonder le rapport au travail | Anne-Béatrice Duparc | TEDxLaRochelle,F
IadALdsmrgA,Anne CHERVET,"L’hypnose n’endort pas, elle réveille | Anne CHERVET | TEDxClermont",F
iex_spdqdKs,Nancy Traoré,Pardonner à ses bourreaux | Nancy Traoré | TEDxBordeaux,F
ifp65SHr7FY,Cathy BEAUVALLET,Laisser une trace... | Cathy BEAUVALLET | TEDxClermont,F
ihVIv8IY21s,Sandrine Roudaut,Comment faire advenir l'utopie ? | Sandrine Roudaut | TEDxVaugirardRoad,F
iijneCsoTy0,Barbara Cassin,Les maisons de la sagesse | Barbara Cassin | TEDxMarseille,F
ikyuXjOxLQs,Agathe DE ROUCK,How getting lost became an opportunity | Agathe DE ROUCK | TEDxUNamur,F
inEO2aErEk0,Miho Janvier,"Sur le soleil, il pleut aussi | Miho Janvier | TEDxSaclay",F
iOjvGNJOr7M,Anne Nihant,De la plantation au chocolat: un nouvel artisanat | Anne Nihant | TEDxLiège,F
iWnXjuaoQXM,Celine van Till,La force du possible | Celine van Till | TEDxMartigny,F
J-Wv1OTENfw,Caroline Sauvajol-Rialland,L’infobésité tue la communication ! | Caroline Sauvajol-Rialland | TEDxUCLouvain,F
j10hiMUkMLM,Marie-Aldine Girard,Merci à la Femme parfaite  d’être une connasse ! | Marie-Aldine Girard | TEDxOrléans,F
J5Wtp9-sAZY,Florence Porcel,Explorer Mars pour s’émerveiller et s’émouvoir | Florence Porcel | TEDxReims,F
jB-PwAAVNH8,Flore de Rufz,LinkedOut : Réseau social pro. pour révéler les talents des exclus | Flore de Rufz | TEDxRennesSalon,F
Jc9LaqgMiKg,Dorine BOURNETON,Au-dessus des nuages | Dorine BOURNETON | TEDxClermont,F
JfZiIEAGv3I,Aude Baron,Quel avenir pour l'innovation éditoriale numérique ? | Aude Baron | TEDxUniversitéParisDauphine,F
jhQ2jghHtpU,Sabrina Krief,Observer les singes pour soigner les hommes | Sabrina Krief | TEDxESSCA,F
JID9c-MABis,Claire BALVA,La Blockchain: réinventer les rapports de confiance | Claire BALVA | TEDxLyon,F
jJKvPLLJ8T4,Kalina Raskin,S'inspirer du vivant pour construire nos systèmes | Kalina Raskin | TEDxVaugirardRoad,F
jm7bXjeqP54,Anaïs Bourdet,J'en ai marre d'être femme : le harcèlement de rue | Anaïs Bourdet | TEDxParcMontsouris,F
JMZ47gpvbOc,Estelle Lovi,Comment je suis devenue artiste... de ma vie ! | Estelle Lovi | TEDxSaclay,F
jQDduAIbNxQ,Sandrine Ngalula Mubenga,Pourquoi éduquer la jeunesse aux STEM ? | Sandrine Ngalula Mubenga | TEDxMontrouge,F
JSLzgG_ku60,Fiona Nziza,Comment décoloniser les savoirs ? | Fiona Nziza | TEDxUCLouvain,F
jSrdYiX5aD4,Hanh Ha,Mieux vaut allumer une chandelle que de maudire l'obscurité | Hanh Ha | TEDxCannes,F
JSSTBBWxX34,Nadia Remadna,Comment sauver nos enfants de la radicalisation | Nadia Remadna | TEDxAvignon,F
jWxd2SYbCRU,Uèle Lamore,J’ai toujours su ce que je ne voulais pas faire | Uèle Lamore | TEDxUNamur,F
kakil_mE2lc,Carine ROCHARD,NOTRE IDN POUR DÉVELOPPER NOTRE EMPLOYABILITÉ | Carine ROCHARD | TEDxIleDeNantes,F
KbOVEnNBHlI,Diana & Guilherme Serodio,Relations de pouvoir | Diana & Guilherme Serodio | TEDxDunkerque,F
KgStMtYx9IU,Sylvie Mombo,"Le conte, les mots pour guérir nos maux. | Sylvie Mombo | TEDxSaclay",F
kHDTrpIyCrQ,Catherine Helayel,Les animaux ont ils des droits ? | Catherine Helayel | TEDxTours,F
kj92qi_qQNg,Mariette FOURMEAUX DU SARTEL,Cycle de la violence.La solution au cœur des prisons ? | Mariette FOURMEAUX DU SARTEL | TEDxNarbonne,F
KK_lOuhAfso,Moïra Mikolajczak,"Améliorer son intelligence émotionnelle, pourquoi pas à l'école? | Moïra Mikolajczak | TEDxUCLouvain",F
Km07gRO0Npg,Cristina Del Biaggio,Les routes de l'exil | Cristina Del Biaggio | TEDxChampsElyseesSalon,F
kMbsS6-tvrI,Christine MAYER,Le handicap ? Je dis OUI et MERCI ! | Christine MAYER | TEDxBelfort,F
KOyOXtt_fX8,Aude de Thuin,Vers un féminisme pragmatique | Aude de Thuin | TEDxChampsElyseesWomen,F
Kp4QU2gmj1o,Florence Escaravage,"Célibataires, couples : comment réveiller l'amour ? | Florence Escaravage | TEDxCannes",F
Kq5ufoZ96jk,Béatrice DUKA,ET SI NOUS APPRENIONS À COMMUNIQUER AUTREMENT ? | Béatrice DUKA | TEDxIleDeNantes,F
KtS1X0sqbQQ,Laurence Medrjevetzki,Et si choisir c'était exister et s’impliquer ? | Laurence Medrjevetzki | TEDxRennes,F
KXZ6Kjr-nOY,Myriam Côté,Vers une IA par et pour l'humanité / Towards an AI by and for humanity | Myriam Côté | TEDxUmontreal,F
